Threads,Time (s)
1,3.386
2,1.892
3,1.392
4,1.19
5,0.974
6,0.846
7,0.802
8,0.896
9,1.085
10,1.153
11,1.489
12,1.257
13,1.694
14,1.559
15,1.579
16,1.664
17,1.613
18,1.68
19,1.573
20,1.686
21,1.628
22,1.691
23,1.717
24,1.837
25,1.589
26,1.452
27,1.502
28,1.413
29,1.51
30,1.366
31,1.717
32,1.315
33,1.33
34,1.404
35,1.493
36,1.327
37,1.786
38,1.29
39,1.263
40,1.291
1,3.386
2,1.855
3,1.571
4,1.175
5,0.935
6,0.855
7,0.742
8,0.968
9,1.084
10,1.182
11,1.202
12,1.511
13,1.414
14,1.524
15,1.621
16,1.616
17,1.782
18,1.771
19,1.662
20,1.592
21,1.677
22,1.668
23,1.569
24,1.616
25,1.544
26,1.472
27,1.318
28,1.313
29,1.313
30,1.362
31,1.452
32,1.294
33,1.378
34,1.38
35,1.317
36,1.639
37,1.398
38,1.282
39,1.302
40,1.513
1,3.394
2,2.037
3,1.577
4,1.201
5,0.962
6,0.932
7,0.819
8,1.077
9,1.204
10,1.264
11,1.105
12,1.21
13,1.163
14,1.597
15,1.696
16,1.723
17,1.781
18,1.738
19,1.8
20,1.564
21,1.64
22,1.694
23,1.645
24,1.655
25,1.551
26,1.329
27,1.605
28,1.42
29,1.499
30,1.427
31,1.495
32,1.576
33,1.417
34,1.422
35,1.343
36,1.409
37,1.885
38,1.333
39,1.224
40,1.42
1,3.426
2,1.847
3,1.298
4,1.201
5,0.97
6,0.832
7,0.896
8,1.028
9,1.217
10,1.139
11,1.262
12,1.632
13,1.317
14,1.443
15,1.726
16,1.66
17,1.851
18,1.71
19,1.854
20,1.547
21,1.3
22,1.739
23,1.784
24,1.542
25,1.531
26,1.409
27,1.723
28,1.554
29,1.84
30,1.389
31,1.524
32,1.323
33,1.397
34,1.349
35,1.401
36,1.382
37,1.35
38,1.222
39,1.343
40,1.338
1,3.393
2,1.895
3,1.592
4,1.193
5,0.987
6,0.872
7,0.78
8,0.974
9,1.134
10,1.17
11,1.358
12,1.35
13,1.398
14,1.547
15,1.732
16,1.428
17,1.698
18,1.766
19,1.914
20,1.37
21,1.762
22,1.683
23,1.664
24,1.47
25,1.484
26,1.591
27,1.412
28,1.394
29,1.364
30,1.449
31,1.428
32,1.526
33,1.421
34,1.318
35,1.26
36,1.215
37,1.25
38,1.181
39,1.296
40,1.685
1,3.55
2,1.837
3,1.555
4,1.006
5,1.079
6,0.802
7,0.814
8,0.786
9,0.932
10,1.197
11,1.285
12,1.297
13,1.416
14,1.587
15,1.672
16,1.607
17,1.715
18,1.566
19,1.513
20,1.607
21,1.611
22,1.536
23,1.559
24,1.506
25,1.458
26,1.801
27,1.44
28,1.442
29,1.347
30,1.54
31,1.334
32,1.42
33,1.263
34,1.351
35,1.355
36,1.382
37,1.298
38,1.285
39,1.42
40,1.7
1,3.368
2,1.842
3,1.564
4,1.145
