Threads,Time (s)
1,136.726
2,71.661
3,51.092
4,40.141
5,32.976
6,29.252
7,26.183
8,23.722
9,21.382
10,20.601
11,20.54
12,19.559
13,18.897
14,18.833
15,18.661
16,19.604
17,18.14
18,18.462
19,18.336
20,18.275
21,18.105
22,18.504
23,18.604
24,17.393
25,18.379
26,17.897
27,18.56
28,20.62
29,16.656
30,18.147
31,19.655
32,17.565
33,18.23
34,19.212
35,20.176
36,18.942
37,18.034
38,20.1
39,19.702
40,19.153
1,135.737
2,70.689
3,51.072
4,40.209
5,32.917
6,28.517
7,25.641
8,23.725
9,21.509
10,21.448
11,19.359
12,20.046
13,18.13
14,18.35
15,19.362
16,18.387
17,18.21
18,18.398
19,19.575
20,18.952
21,17.658
22,19.483
23,17.467
24,19.248
25,18.443
26,19.109
27,18.603
28,20.483
29,18.803
30,19.583
31,18.402
32,18.414
33,19.047
34,18.842
35,18.448
36,18.27
37,18.758
38,17.554
39,20.116
40,18.733
1,137.082
2,70.853
3,51.135
4,40.508
5,33.159
6,28.364
7,25.504
8,23.411
9,21.188
10,21.387
11,19.805
12,20.445
13,18.55
14,17.695
15,18.173
16,18.986
17,17.487
18,17.766
19,17.252
20,17.815
21,18.572
22,16.993
23,18.32
24,18.627
25,19.544
26,18.731
27,17.922
28,18.238
29,17.423
30,19.352
31,19.748
32,18.652
33,18.639
34,18.396
35,17.771
36,18.378
37,19.359
38,19.62
39,18.877
40,19.092
1,132.761
2,70.979
3,52.013
4,40.055
5,33.484
6,28.596
7,25.536
8,23.271
9,21.858
10,21.113
11,19.308
12,20.109
13,19.44
14,18.653
15,17.831
16,17.616
17,18.079
18,17.629
19,18.221
20,17.843
21,17.709
22,18.449
23,19.583
24,18.312
25,18.774
26,18.367
27,20.09
28,18.914
29,18.459
30,20.991
31,20.189
32,17.945
33,18.862
34,17.554
35,18.167
36,18.617
37,18.788
38,19.629
39,19.302
40,18.884
1,137.044
2,71.992
3,51.801
4,39.997
5,33.527
6,28.846
7,25.835
8,23.571
9,22.362
10,20.449
11,19.901
12,18.866
13,18.833
14,18.975
15,17.848
16,17.018
17,18.274
18,18.622
19,17.722
20,18.124
21,18.489
22,17.886
23,18.794
24,18.267
25,20.085
26,19.516
27,19.243
28,17.914
29,18.699
30,18.44
31,17.943
32,17.936
33,19.635
34,17.643
35,18.49
36,17.541
37,19.61
38,20.146
39,17.411
40,18.544
1,136.503
2,71.653
3,51.797
4,40.534
5,33.624
6,28.628
7,25.76
8,23.166
9,21.86
10,21.03
11,20.026
12,19.665
13,18.455
14,18.002
15,18.402
16,17.43
17,17.426
18,18.478
19,18.611
20,19.013
21,18.243
22,17.756
23,18.499
24,17.557
25,19.187
26,18.11
27,17.921
28,17.65
29,16.045
30,18.424
31,18.925
32,17.916
33,18.324
34,19.28
35,17.858
36,19.367
37,18.167
38,18.909
39,18.904
40,18.545
1,134.874
2,70.991
3,51.842
4,39.964
5,34.96
6,29.176
7,25.642
8,22.916
9,21.516
10,21.016
11,19.219
12,18.423
13,19.927
14,18.617
15,18.765
16,18.33
17,17.728
18,18.656
19,18.026
20,18.454
21,18.201
22,16.972
23,19.291
24,18.798
25,18.231
26,18.214
27,19.337
